,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tw,reply,length
6660,8678,30848,30848,30848,30848,30848,30848,31174,1015,1431379747607617542,1431379747607617542,1630102500000.0,2021-08-27 18:15:00,-400,,"Happy Friday, all!  #FridayFeeling #fridaynight #Goodtimes  https://t.co/kbopQ6PYMk",en,"['fridayfeeling', 'fridaynight', 'goodtimes']",[],990750477233995776,990750477233995776,TalAndRu,Tal & Ru Travels,5,18,https://twitter.com/TalAndRu/status/1431379747607617542,[],['https://pbs.twimg.com/tweet_video_thumb/E9qhQE3WEAUnMUF.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9qhQE3WEAUnMUF.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,"Happy Friday, all! FridayFeeling fridaynight Goodtimes",False,6
2929,4947,19009,19009,19009,19009,19009,19009,19224,1135,1431287826231054336,1431287167117111297,1630080584000.0,2021-08-27 12:09:44,-400,,@FridayInCanada Livestream where I drag a JG “mystery” novel  https://t.co/lI5DTAOVEK,en,[],[],1235028431638798337,1235028431638798337,4ourlant3rns,L,5,12,https://twitter.com/4ourlant3rns/status/1431287826231054336,[],['https://pbs.twimg.com/tweet_video_thumb/E9z0sD7XEAIKoPl.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9z0sD7XEAIKoPl.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'FridayInCanada', 'name': 'FridayInCanada', 'id': '1072106388728496128'}]",,,,,Livestream where I drag a JG “mystery” novel,True,8
6537,8555,30360,30360,30360,30360,30360,30360,30682,523,1431379802280316935,1431379802280316935,1630102513000.0,2021-08-27 18:15:13,-400,,"me, walking home avoiding my own reflection after watching #Candyman  https://t.co/urtTZ4Ktr1",en,['candyman'],[],319334173,319334173,rossxarkley,ross,5,18,https://twitter.com/rossxarkley/status/1431379802280316935,[],['https://pbs.twimg.com/tweet_video_thumb/E91IVozX0AEeJAF.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91IVozX0AEeJAF.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,"me, walking home avoiding my own reflection after watching Candyman",False,10
1877,3895,15641,15641,15641,15641,15641,15641,15815,1753,1431266919701626880,1431266919701626880,1630075599000.0,2021-08-27 10:46:39,-400,,bts butter ft. megan thee stallion  🍓streaming thread 🍓 &gt; yt &amp; spotify &lt;  https://t.co/J6IuzDMNLL,en,[],[],1211310358297604097,1211310358297604097,jeon_eloi,eloi⁷✙ 🍓 streaming,5,10,https://twitter.com/jeon_eloi/status/1431266919701626880,[],['https://pbs.twimg.com/tweet_video_thumb/E9zhrKIUUAgVyMS.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zhrKIUUAgVyMS.jpg,False,0,1,0,,.gif,,,,,,,[],,,,,bts butter ft. megan thee stallion 🍓streaming thread 🍓 &gt; yt &amp; spotify &lt;,False,14
7732,9750,34218,34218,34218,34218,34218,34218,34566,405,1431416749627527171,1431415803841290246,1630111322000.0,2021-08-27 20:42:02,-400,,"@david_pangle “Mommmmm! Cardano’s going up again! Make it stop, Mom!”  “I’m sorry sweetie. How about some hot pockets?”  https://t.co/M378VecjQU",en,[],[],63967251,63967251,timberowl,Timberowl,5,20,https://twitter.com/timberowl/status/1431416749627527171,[],['https://pbs.twimg.com/tweet_video_thumb/E91p8aFXsAAnpB1.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91p8aFXsAAnpB1.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'david_pangle', 'name': 'David Pangle', 'id': '1226279370119090183'}]",,,,," pangle “Mommmmm! Cardano’s going up again! Make it stop, Mom!” “I’m sorry sweetie. How about some hot pockets?”",True,18
6869,8887,31545,31545,31545,31545,31545,31545,31877,1718,1431379670726025222,1431289918341406726,1630102481000.0,2021-08-27 18:14:41,-400,,@PridefuISin You saying I should start this?  https://t.co/SynsY8nKnL,en,[],[],1352358512786075652,1352358512786075652,astrotorino,ًFaZe Theo ,5,18,https://twitter.com/astrotorino/status/1431379670726025222,[],['https://pbs.twimg.com/tweet_video_thumb/E91IOM4WUAAT3-t.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E91IOM4WUAAT3-t.jpg,False,0,1,0,,.gif,,,,,,,"[{'screen_name': 'PridefuISin', 'name': 'Pride ♧', 'id': '967148488835428353'}]",,,,,You saying I should start this?,True,6
4981,6999,25571,25571,25571,25571,25571,25571,25849,1718,1431338243518308354,1431336430081544194,1630092604000.0,2021-08-27 15:30:04,-400,,@MillsTwitch @MLBTheShow Wow that’s pretty cool as a start  https://t.co/hYdIwdqJbH,en,[],[],292569379,292569379,bigstupid21,Brian,5,15,https://twitter.com/bigstupid21/status/1431338243518308354,[],['https://pbs.twimg.com/tweet_video_thumb/E90ii1RWUAAB5-m.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E90ii1RWUAAB5-m.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'MillsTwitch', 'name': 'Mills', 'id': '18827576'}, {'screen_name': 'MLBTheShow', 'name': 'MLB The Show', 'id': '803075100'}]",,,,,Wow that’s pretty cool as a start,True,7
11536,13554,46274,46274,46274,46274,46274,46274,46744,526,1431499316082864128,1431446406842118150,1630131007000.0,2021-08-28 02:10:07,-400,,@Kiwipally @K08110054 @bethjon63318064 @actionstation @millihill Same. Likewise  https://t.co/3evKZI1E8b,en,[],[],320435464,320435464,fort_sarah,Sarah Fort,6,2,https://twitter.com/fort_sarah/status/1431499316082864128,[],['https://pbs.twimg.com/tweet_video_thumb/E921CJtUUAgQNJs.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E921CJtUUAgQNJs.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'Kiwipally', 'name': 'MJones', 'id': '187816312'}, {'screen_name': 'K08110054', 'name': 'Robert', 'id': '1163365482436517889'}, {'screen_name': 'bethjon63318064', 'name': 'Jim', 'id': '1106047188105228288'}, {'screen_name': 'actionstation', 'name': 'ActionStation', 'id': '589621306'}, {'screen_name': 'millihill', 'name': 'Milli Hill', 'id': '117873637'}]",,,,,Same. Likewise,True,2
12503,14521,49506,49506,49506,49506,49506,49506,50016,1797,1431516369384660992,1431497850932760581,1630135073000.0,2021-08-28 03:17:53,-400,,@slinkywhat HAPPY BIRTHDAY BB AND WELCOME! 🥰  https://t.co/gmLPWmcG5n,en,[],[],70846895,70846895,KrisSolberg,Kris Solberg,6,3,https://twitter.com/KrisSolberg/status/1431516369384660992,[],['https://pbs.twimg.com/tweet_video_thumb/E93EjGjVUAA23-q.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E93EjGjVUAA23-q.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'slinkywhat', 'name': 'Niki Hale', 'id': '69101979'}]",,,,,HAPPY BIRTHDAY BB AND WELCOME! 🥰,True,6
174,2192,9672,9672,9672,9672,9672,9672,9777,1734,1431208652472455169,1431208652472455169,1630061707000.0,2021-08-27 06:55:07,-400,,Me watching Relationship Memes on Snapchat 😭  https://t.co/2FKeqZx03b,en,[],[],1174478083,1174478083,firi_the_cat,Bad & Burji,5,6,https://twitter.com/firi_the_cat/status/1431208652472455169,[],['https://pbs.twimg.com/tweet_video_thumb/E9ysrieXoAEOszw.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9ysrieXoAEOszw.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,Me watching Relationship Memes on Snapchat 😭,False,7
