,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tw,reply,length
0,0,0,0,0,1,1,2023,5,1431097956850147331,1431097956850147331,1630035316000.0,2021-08-26 23:35:16,-400,,So when you gonna tell her that we did that too  https://t.co/yJdausBrE5,en,[],[],60490428,60490428,ThoughtsOfPe,NBAYOUNG Iroh 💮,4,23,https://twitter.com/ThoughtsOfPe/status/1431097956850147331,[],['https://pbs.twimg.com/tweet_video_thumb/E9xIAM8WQAUyGrm.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xIAM8WQAUyGrm.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,So when you gonna tell her that we did that too,False,11
1,1,1,1,1,2,2,2025,7,1431097956338257921,1431093127507369984,1630035315000.0,2021-08-26 23:35:15,-400,,@RubiDilaik Love you @RubiDilaik  #RubinaDilaik #RubiHolics  https://t.co/ze0EqH4vCA,en,"['rubinadilaik', 'rubiholics']",[],1345960541437665281,1345960541437665281,iamlipikaghosh,LIPIKA❣ || HBD RUBI ❤ ||,4,23,https://twitter.com/iamlipikaghosh/status/1431097956338257921,[],['https://pbs.twimg.com/tweet_video_thumb/E9xH_6wVQAAVWDj.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xH_6wVQAAVWDj.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'RubiDilaik', 'name': 'Rubina Dilaik', 'id': '610642546'}]",,,,,Love you RubinaDilaik RubiHolics,True,4
2,2,2,2,2,3,3,2030,12,1431097954828537857,1431097954828537857,1630035315000.0,2021-08-26 23:35:15,-400,,my drew starkey agenda is working  https://t.co/OBz4OpTzwQ,en,[],[],1388452391910060032,1388452391910060032,strkqys,ً📌,4,23,https://twitter.com/strkqys/status/1431097954828537857,[],['https://pbs.twimg.com/tweet_video_thumb/E9xIADEXEAAjnbc.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xIADEXEAAjnbc.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,my drew starkey agenda is working,False,6
3,3,3,3,3,4,4,2032,14,1431097954698412034,1431097954698412034,1630035315000.0,2021-08-26 23:35:15,-400,,Fuuta's cheering for you!!  https://t.co/lJupOG9FgY,en,[],[],1363678408194990086,1363678408194990086,milgramlovebot,milgram lovebot,4,23,https://twitter.com/milgramlovebot/status/1431097954698412034,[],['https://pbs.twimg.com/tweet_video_thumb/E9xIASjXMAEqNT3.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xIASjXMAEqNT3.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,Fuuta's cheering for you!!,False,4
4,4,4,4,4,5,5,2035,17,1431097954429902854,1431094955536117764,1630035315000.0,2021-08-26 23:35:15,-400,,"@rmstreet Thanks, RM. I am filled with righteous anger.  https://t.co/5tYQgVk1mw",en,[],[],73150459,73150459,Stanch247,Dr. Stanch 24/7,4,23,https://twitter.com/Stanch247/status/1431097954429902854,[],['https://pbs.twimg.com/tweet_video_thumb/E9xH-8zUUA4G9Vr.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xH-8zUUA4G9Vr.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'rmstreet', 'name': 'RM STREET', 'id': '116490895'}]",,,,,"Thanks, RM. I am filled with righteous anger.",True,8
5,5,5,5,5,6,6,2036,18,1431097954400677897,1431097954400677897,1630035315000.0,2021-08-26 23:35:15,-400,,LinkedIn went to approve someone’s request on LinkedIn and it asked me to change my password. Oh no baby I don’t need to use you that badly.  https://t.co/bQjd8EHbEJ,en,[],[],25886244,25886244,_IanJ,the black voldemort,4,23,https://twitter.com/_IanJ/status/1431097954400677897,[],['https://pbs.twimg.com/tweet_video_thumb/E9xIAJwWQAgTx4Q.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xIAJwWQAgTx4Q.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,LinkedIn went to approve someone’s request on LinkedIn and it asked me to change my password. Oh no baby I don’t need to use you that badly.,False,27
6,6,6,6,6,7,7,2041,23,1431097953012359168,1431096961986441216,1630035315000.0,2021-08-26 23:35:15,-400,,@PhantomArcade3K Only a fucking cringy old man wants his youth back :)  https://t.co/9yBwppLgBp,en,[],[],1402026915314208768,1402026915314208768,Nada_shiruiama,ナダ,4,23,https://twitter.com/Nada_shiruiama/status/1431097953012359168,[],['https://pbs.twimg.com/tweet_video_thumb/E9xH_2xXEAIYjpf.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xH_2xXEAIYjpf.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'PhantomArcade3K', 'name': 'Phantom Arcade 🆖', 'id': '2892779831'}]",,,,,Only a fucking cringy old man wants his youth back :),True,11
7,7,7,7,7,8,8,2051,33,1431097951145926656,1431097672111464451,1630035314000.0,2021-08-26 23:35:14,-400,,@thatsatisfied shush about you dying i beg💔  https://t.co/DcbKFccldg,en,[],[],1269475789436747776,1269475789436747776,ANTIElLlSH,{arielle},4,23,https://twitter.com/ANTIElLlSH/status/1431097951145926656,[],['https://pbs.twimg.com/tweet_video_thumb/E9xH_9JWYAoTapz.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xH_9JWYAoTapz.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'thatsatisfied', 'name': 'alexa | ZARI DAY', 'id': '1377003752872407056'}]",,,,,shush about you dying i beg💔,True,6
8,8,8,8,8,9,9,2054,36,1431097950332235777,1431097950332235777,1630035314000.0,2021-08-26 23:35:14,-400,,less than 30 minutes  https://t.co/nB5MZdNvjb,en,[],[],1092817386,1092817386,filterofthesoul,♔,4,23,https://twitter.com/filterofthesoul/status/1431097950332235777,[],['https://pbs.twimg.com/tweet_video_thumb/E9xH7TaWUAI6jaY.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xH7TaWUAI6jaY.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,less than 30 minutes,False,4
9,9,9,9,9,10,10,2056,38,1431097949694701573,1431097949694701573,1630035314000.0,2021-08-26 23:35:14,-400,,25 MINUTES LEFT  https://t.co/HY67mGGX1V,en,[],[],1396416344996945921,1396416344996945921,bigenderarmys,bigender army's safe space⁷ 🧈👅,4,23,https://twitter.com/bigenderarmys/status/1431097949694701573,[],['https://pbs.twimg.com/tweet_video_thumb/E9xH_qyX0AAEzS8.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xH_qyX0AAEzS8.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,25 MINUTES LEFT,False,3
