,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,clean_tw,reply,length
46319,46319,46319,46319,46319,46789,571,1431499306507259906,1431325777258110981,1630131005000.0,2021-08-28 02:10:05,-400,,"@jisakyu Love you dije, huggie virtual buat lo🫂  https://t.co/yEhDkFIMHj",ht,[],[],1416013632882692096,1416013632882692096,tktmassy,deylla 'ia | v0t3 Tt4 | LS1,6,2,https://twitter.com/tktmassy/status/1431499306507259906,[],['https://pbs.twimg.com/tweet_video_thumb/E921BwCUUAEX03w.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E921BwCUUAEX03w.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'jisakyu', 'name': 'hooni’s gf// dj 🦋💗⚡️', 'id': '1415536305732157449'}]",,,,,"Love you dije, huggie virtual buat lo🫂",True,7
6512,6512,6512,6512,6512,6583,545,1431176199322193921,1430927207711526916,1630053970000.0,2021-08-27 04:46:10,-400,,@MarieTelling  https://t.co/B5jiqTcqlg,und,[],[],231556928,231556928,LouLaLaLaLou,Loo-La,5,4,https://twitter.com/LouLaLaLaLou/status/1431176199322193921,[],['https://pbs.twimg.com/tweet_video_thumb/E9yPKVWWEAM2cij.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9yPKVWWEAM2cij.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,,False,0
7735,7735,7735,7735,7735,7818,1780,1431175938872647684,1431175938872647684,1630053908000.0,2021-08-27 04:45:08,-400,, https://t.co/uTCRPLEH7G,und,[],[],857675784886071296,857675784886071296,SassySalssy,Wa Asali🍯🐝,5,4,https://twitter.com/SassySalssy/status/1431175938872647684,[],['https://pbs.twimg.com/tweet_video_thumb/E9yO7EUXMAAhNH_.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9yO7EUXMAAhNH_.jpg,False,1,1,0,https://twitter.com/Reggaewailer/status/1431165029169209347,.gif,,,,,,,[],,,,,,False,0
20354,20354,20354,20354,20354,20584,477,1431307718267125766,1431306817666158598,1630085327000.0,2021-08-27 13:28:47,-400,,@renhyuckpie VDD tem ssick também  https://t.co/P2QvgDc6v5,pt,[],[],1365661666604707841,1365661666604707841,ire__ni,vic,5,13,https://twitter.com/ire__ni/status/1431307718267125766,[],['https://pbs.twimg.com/tweet_video_thumb/E90GwBOWYAMmfbH.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E90GwBOWYAMmfbH.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'renhyuckpie', 'name': 'anna', 'id': '1357079664297209862'}]",,,,,VDD tem ssick também,True,4
3165,3165,3165,3165,3165,3199,1181,1431097793469304835,1431097793469304835,1630035277000.0,2021-08-26 23:34:37,-400,,Reaksi tengok kabinet Kerajaan yang baru.  https://t.co/J0vVu2ppYQ,in,[],[],890969841879744513,890969841879744513,addy_samsudin,Addy Samsudin,4,23,https://twitter.com/addy_samsudin/status/1431097793469304835,[],['https://pbs.twimg.com/tweet_video_thumb/E9xH2oBVEAAFWkc.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9xH2oBVEAAFWkc.jpg,False,1,0,0,,.gif,,,,,,,[],,,,,Reaksi tengok kabinet Kerajaan yang baru.,False,6
23526,23526,23526,23526,23526,23779,1661,1431319405586042881,1430953226631847937,1630088113000.0,2021-08-27 14:15:13,-400,,@JuanCorleone11 @VolantisMoon @XxLK969xX @GameSpot  https://t.co/JefF5mvl4z,und,[],[],3188093214,3188093214,abbyponce520,Abigail Ponce,5,14,https://twitter.com/abbyponce520/status/1431319405586042881,[],['https://pbs.twimg.com/tweet_video_thumb/E90RaFUUUAIxgC1.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E90RaFUUUAIxgC1.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'JuanCorleone11', 'name': 'F O R E I G N', 'id': '1328865732923248640'}, {'screen_name': 'VolantisMoon', 'name': 'Josh P (VOLANTIS)', 'id': '2201988409'}, {'screen_name': 'XxLK969xX', 'name': 'Kish 🦂♏️', 'id': '1239966207647707137'}]",,,,,,True,0
10808,10808,10808,10808,10808,10925,875,1431231268142813192,1431226231807090692,1630067099000.0,2021-08-27 08:24:59,-400,,@Raza28992080 😆😆  https://t.co/y6kjkREYtg,und,[],[],1342944554954080256,1342944554954080256,I_am_Abha66,Abha آبھا,5,8,https://twitter.com/I_am_Abha66/status/1431231268142813192,[],['https://pbs.twimg.com/tweet_video_thumb/E9zBPsRVkAYg4xU.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9zBPsRVkAYg4xU.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'Raza28992080', 'name': 'Raza', 'id': '1337298981173411841'}]",,,,,😆😆,True,1
37681,37681,37681,37681,37681,38070,1895,1431434896325677059,1431407514554339330,1630115648000.0,2021-08-27 21:54:08,-400,,@ViniWasH3r3 u know which one 🤨  https://t.co/uaWxi4uMKF,en,[],[],1428704102444376067,1428704102444376067,sirindig0,indigo,5,21,https://twitter.com/sirindig0/status/1431434896325677059,[],['https://pbs.twimg.com/tweet_video_thumb/E916cozWQAE3wAs.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E916cozWQAE3wAs.jpg,False,1,0,0,,.gif,,,,,,,"[{'screen_name': 'ViniWasH3r3', 'name': 'Vini 🏳️\u200d⚧️', 'id': '1335419082682884097'}]",,,,,u know which one 🤨,True,5
8687,8687,8687,8687,8687,8783,740,1431208812216717316,1431208812216717316,1630061746000.0,2021-08-27 06:55:46,-400,,"A ginger cat just walked into the house and tried to eat Raisin’s food!!! No one messes with Rai, he’s not happy…. We chased the ginge away.  https://t.co/YLnuqwQ9ID",en,[],[],943580869977092096,943580869977092096,glowbillieglow,Billie has a mate,5,6,https://twitter.com/glowbillieglow/status/1431208812216717316,[],['https://pbs.twimg.com/tweet_video_thumb/E9ys0xxWEAQ6k2-.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9ys0xxWEAQ6k2-.jpg,False,0,0,0,,.gif,,,,,,,[],,,,,"A ginger cat just walked into the house and tried to eat Raisin’s food!!! No one messes with Rai, he’s not happy…. We chased the ginge away.",False,27
6367,6367,6367,6367,6367,6438,400,1431176228799586304,1431174424007360514,1630053977000.0,2021-08-27 04:46:17,-400,,"@ashajadeja325 @YouTube This is not "" USA 's BLUNDER "" in Afghanistan   This is conspiracy of US to destroy Asia including "" India "".  U.S left nearly 150 missiles in Afghanistan ( report by Russia)  They left helicopters, jets , guns , armors to destroy Asia.  https://t.co/8E0OUY91qP",en,[],[],1388529889641328641,1388529889641328641,warriorz47,predator,5,4,https://twitter.com/warriorz47/status/1431176228799586304,[],['https://pbs.twimg.com/tweet_video_thumb/E9yOdZTXIAEJlO0.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/E9yOdZTXIAEJlO0.jpg,False,0,0,0,,.gif,,,,,,,"[{'screen_name': 'ashajadeja325', 'name': 'Asha Jadeja Motwani 🇮🇳🇺🇸', 'id': '44699176'}, {'screen_name': 'YouTube', 'name': 'YouTube', 'id': '10228272'}]",,,,,"This is not "" USA 's BLUNDER "" in Afghanistan This is conspiracy of US to destroy Asia including "" India "". U.S left nearly 150 missiles in Afghanistan ( report by Russia) They left helicopters, jets , guns , armors to destroy Asia.",True,44
